,,,FAB-100,,,FAB-250,,,FAB-500,,
Angle,Speed,Height,Loft Time(s),Loft Dist(m),Pipper Adj,Loft Time(s),Loft Dist(m),Pipper Adj,Loft Time(s),Loft Dist(m),Pipper Adj
-10,900,1200,11.91,2915.400979,12.37241791,11.89,2919.18401,12.34627855,11.89,2918.668048,12.34984025
-10,900,1400,13.13,3212.268089,13.54897474,13.11,3217.849844,13.51256341,13.11,3217.226641,13.51662347
-10,900,1600,14.27,3489.40702,14.63290593,14.24,3494.357963,14.60214191,14.25,3496.071013,14.59151418
-10,900,2000,16.37,3999.298588,16.56907053,16.34,4007.91139,16.51979387,16.34,4006.962586,16.52521398
-10,900,2400,18.28,4462.403612,18.27255234,18.24,4472.237965,18.21996752,18.24,4471.071836,18.22619349
-10,900,2800,20.04,4888.643879,19.80218207,19.99,4899.666157,19.74656295,20,4900.720349,19.74125331
-10,900,3200,21.68,5285.44088,21.19225227,21.63,5300.034093,21.12230712,21.63,5298.4395,21.12993625
-10,900,3600,23.23,5660.151089,22.45739753,23.17,5675.841836,22.38561386,23.18,5676.468618,22.38275227
-10,900,4000,24.7,6015.277555,23.62285224,24.63,6032.008407,23.54951409,24.64,6032.427315,23.54768147
-10,900,4400,26.1,6353.302528,24.70466145,26.02,6371.005753,24.63007531,26.03,6371.221156,24.62916951
-10,900,4800,27.43,6674.299132,25.72280606,27.35,6695.296476,25.63754125,27.36,6695.312756,25.63747528
-10,900,5200,28.72,6985.496553,26.66397782,28.63,7007.334504,26.57835633,28.64,7007.155517,26.5790567
-10,1000,400,5.39,1469.911448,5.223007708,5.39,1472.265375,5.19979526,5.39,1472.125213,5.201175482
-10,1000,500,6.35,1730.777592,6.113344429,6.34,1731.306322,6.108678802,6.34,1731.113073,6.110383769
-10,1000,600,7.23,1969.665314,6.941799073,7.22,1971.14364,6.929820008,7.22,1970.893889,6.931842617
-10,1000,800,8.82,2400.724613,8.429760572,8.81,2404.208809,8.404852954,8.81,2403.839551,8.407489606
-10,1000,1000,10.25,2787.801404,9.733194942,10.23,2790.678972,9.714416454,10.23,2790.184652,9.717639855
-10,1000,1200,11.56,3141.912769,10.90350414,11.54,3146.974213,10.87278256,11.54,3146.349694,10.87656856
-10,1000,1400,12.77,3468.601222,11.98003344,12.75,3475.878688,11.93838553,12.75,3475.12189,11.94270959
-10,1000,1600,13.91,3776.057538,12.96345943,13.88,3782.877725,12.92634147,13.88,3781.987456,12.93118019
-10,1000,2000,15.99,4336.264511,14.76040248,15.96,4347.592168,14.70360063,15.96,4346.432576,14.7094041
-10,1000,2400,17.89,4847.183171,16.34152704,17.85,4860.328134,16.27987529,17.85,4858.899476,16.28656291
-10,1000,2800,19.65,5319.833925,17.75927779,19.6,5334.779849,17.69307854,19.6,5333.083379,17.700578
-10,1000,3200,21.29,5759.787816,19.05550015,21.23,5776.467389,18.98521623,21.23,5774.507398,18.99345908
-10,1000,3600,22.83,6172.556633,20.2518796,22.77,6193.581166,20.16716387,22.77,6191.360903,20.17608984
-10,1000,4000,24.3,6566.25632,21.34873343,24.22,6586.185961,21.27163979,24.23,6586.407025,21.27078656
-10,1000,4400,25.69,6938.330703,22.38116635,25.61,6962.426254,22.2913964,25.62,6962.395179,22.29151189
-10,1000,4800,27.03,7296.825529,23.33773089,26.94,7322.339683,23.24597066,26.94,7319.372865,23.25661768
-10,1000,5200,28.31,7639.157994,24.24324762,28.21,7665.965159,24.14994475,28.22,7665.44931,24.15173596
-10,1100,400,5.14,1541.415528,4.547472017,5.14,1544.137193,4.522916073,5.14,1543.975073,4.524376506
-10,1100,500,6.08,1822.194884,5.343985401,6.07,1822.989151,5.337614992,6.07,1822.763945,5.339420734
-10,1100,600,6.94,2078.788623,6.099707281,6.93,2080.711414,6.085599361,6.93,2080.419017,6.087743187
-10,1100,800,8.51,2546.52365,7.440307808,8.5,2550.862816,7.412435418,8.5,2550.426338,7.415235207
-10,1100,1000,9.93,2968.818367,8.615292858,9.91,2972.736546,8.592444681,9.91,2972.147891,8.595873865
-10,1100,1200,11.22,3351.863255,9.697866713,11.2,3358.416541,9.662380193,11.2,3357.6706,9.666413321
-10,1100,1400,12.43,3710.659515,10.67106087,12.4,3716.950048,10.6390282,12.4,3716.042957,10.64364143
-10,1100,1600,13.55,4042.372473,11.59401434,13.52,4051.384626,11.55038736,13.52,4050.31493,11.55555687
-10,1100,2000,15.63,4657.440435,13.23967307,15.59,4669.017398,13.18814511,15.59,4667.617878,13.19436276
-10,1100,2400,17.52,5215.334777,14.71100739,17.47,5229.473756,14.65215044,17.48,5230.71711,14.64698725
-10,1100,2800,19.27,5731.149211,16.0382017,19.21,5747.823179,15.9726091,19.22,5748.735253,15.96903002
-10,1100,3200,20.91,6213.953364,17.24711204,20.84,6233.114033,17.17537677,20.84,6230.733099,17.18427171
-10,1100,3600,22.45,6666.880906,18.36827651,22.37,6688.416814,18.29109094,22.38,6688.680143,18.29014955
-10,1100,4000,23.91,7095.938612,19.41007493,23.83,7122.706117,19.3178831,23.83,7119.693737,19.32823194
-10,1100,4400,25.3,7504.169439,20.38483158,25.21,7533.086168,20.28877169,25.22,7532.725673,20.28996585
-10,1100,4800,26.64,7897.511715,21.29066404,26.53,7925.55487,21.20059957,26.54,7924.896208,21.20270961
-10,1100,5200,27.92,8273.192884,22.15084226,27.81,8306.086227,22.04849903,27.81,8302.184625,22.06060791
-10,1200,400,4.91,1605.743604,3.98801169,4.91,1608.865305,3.961933299,4.91,1608.679279,3.963484676
-10,1200,500,5.83,1905.304486,4.704296884,5.82,1906.415858,4.696095967,5.82,1906.155614,4.698015529
-10,1200,600,6.68,2181.719571,5.376913338,6.66,2180.909412,5.382355015,6.66,2180.570088,5.384635304
-10,1200,800,8.22,2681.678705,6.610925924,8.21,2686.998998,6.579843263,8.21,2686.487692,6.582825544
-10,1200,1000,9.62,3135.276401,7.690142224,9.6,3140.404194,7.663053905,9.6,3139.711024,7.666710978
-10,1200,1200,10.9,3549.271792,8.680267842,10.88,3557.572233,8.639697382,10.88,3556.689443,8.644004157
-10,1200,1400,12.09,3933.567039,9.591206487,12.06,3941.862542,9.553107775,12.06,3940.78719,9.558038501
-10,1200,1600,13.21,4294.759519,10.43272971,13.18,4306.364918,10.38219946,13.18,4305.091487,10.38773233
-10,1200,2000,15.28,4961.134129,11.95602106,15.23,4972.961609,11.90875015,15.23,4971.290377,11.91541782
-10,1200,2400,17.16,5565.1378,13.32841903,17.11,5583.672231,13.25922555,17.11,5581.599006,13.26694614
-10,1200,2800,18.9,6123.251095,14.57335887,18.84,6145.208454,14.49588622,18.84,6142.738108,14.5045795
-10,1200,3200,20.53,6645.378883,15.71256537,20.46,6670.691935,15.62751649,20.46,6667.828671,15.6371104
-10,1200,3600,22.07,7138.134431,16.76333762,21.99,7166.722994,16.67136816,21.99,7163.472061,16.68179689
-10,1200,4000,23.53,7604.930824,17.74322759,23.44,7636.658505,17.64506602,23.44,7633.029534,17.65626119
-10,1200,4400,24.92,8049.15679,18.66282971,24.82,8083.829123,18.55929848,24.82,8079.834893,18.57119029
-10,1200,4800,26.25,8474.149071,19.52845438,26.14,8511.540476,19.42039962,26.14,8507.195382,19.43291921
-10,1200,5200,27.53,8883.200112,20.3436235,27.41,8923.077409,20.23186117,27.41,8918.39617,20.24494244
-20,400,400,5.98,623.5299273,12.68053321,5.97,622.9230922,12.70589308,5.97,622.8972744,12.70697279
-20,400,500,6.97,726.5856402,14.53380939,6.97,727.1817621,14.51186886,6.97,727.1463199,14.51317264
-20,400,600,7.88,821.2687556,16.15100207,7.87,820.9931756,16.16016203,7.88,821.9897466,16.12705612
-20,400,800,9.52,991.7964754,18.89024131,9.51,991.8852041,18.88773659,9.51,991.818123,18.88963019
-20,400,1000,10.97,1142.449551,21.19605387,10.97,1143.962574,21.15847569,10.97,1143.872561,21.16070973
-20,400,1200,12.3,1280.536328,23.14041371,12.29,1281.410116,23.12091377,12.29,1281.296395,23.12345083
-20,400,1400,13.53,1408.157543,24.83355939,13.52,1409.445827,24.80736273,13.52,1409.307462,24.81017516
-20,400,1600,14.68,1527.406918,26.32970559,14.66,1528.079306,26.31711057,14.67,1528.955756,26.30070106
-20,400,2000,16.78,1744.995421,28.89537667,16.77,1747.570243,28.85352224,16.77,1747.355324,28.85701376
-20,400,2400,18.7,1943.745923,30.99619024,18.67,1945.128051,30.97626996,18.68,1945.899439,30.965157
-20,400,2800,20.46,2125.789383,32.79385046,20.43,2128.057461,32.7644207,20.44,2128.77551,32.75510835
-20,400,3200,22.11,2296.33081,34.33665044,22.08,2299.492808,34.29929694,22.08,2299.120086,34.30369818
-20,400,3600,23.65,2455.404297,35.70379296,23.62,2459.450636,35.65986331,23.62,2459.025273,35.66447915
-20,400,4000,25.12,2607.154859,36.90414506,25.08,2611.056018,36.86494381,25.08,2610.578083,36.86974451
-20,400,4400,26.52,2751.602116,37.97961708,26.47,2755.355801,37.94449268,26.48,2755.860488,37.93977222
-20,400,4800,27.85,2888.766054,38.95936644,27.8,2893.394567,38.91882505,27.81,2893.846553,38.91486794
-20,400,5200,29.14,3021.738689,39.83897487,29.08,3026.214637,39.80212049,29.09,3026.614084,39.79883283
-20,500,400,5.43,707.6204187,9.47838239,5.42,706.8670974,9.504533585,5.42,706.8345325,9.505665011
-20,500,500,6.38,831.1984011,11.02863775,6.38,831.9594813,11.00548024,6.38,831.914226,11.00685636
-20,500,600,7.26,945.6104869,12.39556527,7.26,946.5982224,12.36851126,7.26,946.5394801,12.37011908
-20,500,800,8.86,1153.484147,14.74327844,8.85,1153.658539,14.73922231,8.85,1153.570932,14.74125982
-20,500,1000,10.29,1339.110482,16.7510651,10.28,1339.804723,16.73682925,10.28,1339.686233,16.73925828
-20,500,1200,11.59,1507.732278,18.5161862,11.58,1508.965639,18.49336063,11.58,1508.815101,18.49614539
-20,500,1400,12.8,1664.571056,20.06576569,12.79,1666.362304,20.03541291,12.79,1666.178584,20.03852429
-20,500,1600,13.93,1810.948287,21.46108014,13.92,1813.307774,21.42406629,13.92,1813.090241,21.42747651
-20,500,2000,16.02,2081.454337,23.85668933,16,2083.682574,23.82606269,16,2083.395942,23.83000047
-20,500,2400,17.91,2325.838163,25.89905989,17.89,2329.243848,25.85716164,17.89,2328.887157,25.86154703
-20,500,2800,19.66,2551.926031,27.65389039,19.64,2556.520538,27.6025756,19.64,2556.093043,27.60734664
-20,500,3200,21.3,2763.63981,29.18488078,21.27,2768.135168,29.13881024,21.27,2767.636899,29.14391358
-20,500,3600,22.84,2962.311048,30.55025938,22.8,2966.703393,30.50860159,22.8,2966.134719,30.51399218
-20,500,4000,24.3,3150.547501,31.77472776,24.26,3156.128623,31.72542458,24.26,3155.48916,31.73107015
-20,500,4400,25.69,3329.662288,32.88369774,25.64,3335.130243,32.83844957,25.64,3334.421154,32.84431433
-20,500,4800,27.02,3500.962112,33.89421888,26.97,3507.602133,33.84251624,26.97,3506.823223,33.84857771
-20,500,5200,28.3,3665.747358,34.81802292,28.24,3672.260698,34.77010945,28.24,3671.413126,34.77634116
-20,600,400,4.95,773.9874177,7.33011373,4.94,773.0740695,7.357716298,4.94,773.035566,7.358881055
-20,600,500,5.86,916.0015192,8.627946707,5.86,916.9129146,8.603990652,5.86,916.8587155,8.605414249
-20,600,600,6.71,1048.575358,9.77840316,6.71,1049.770146,9.750285126,6.71,1049.699081,9.751956211
-20,600,800,8.26,1290.138848,11.80256696,8.25,1290.385735,11.79765696,8.25,1290.278392,11.7997916
-20,600,1000,9.65,1506.563169,13.57471192,9.64,1507.46607,13.55889689,9.64,1507.319746,13.56145897
-20,600,1200,10.93,1705.693844,15.12738365,10.92,1707.286403,15.10222428,10.92,1707.099071,15.10518213
-20,600,1400,12.12,1890.684334,16.51893501,12.11,1892.989303,16.48555543,12.11,1892.759586,16.48887974
-20,600,1600,13.24,2064.674534,17.77355586,13.22,2066.151764,17.75371643,13.22,2065.87897,17.75737876
-20,600,2000,15.29,2382.856312,20.00770537,15.27,2385.817588,19.9726682,15.27,2385.456526,19.97693746
-20,600,2400,17.17,2674.337978,21.90538534,17.14,2677.263991,21.87424304,17.15,2678.368932,21.86249269
-20,600,2800,18.91,2943.859843,23.56527854,18.87,2946.768656,23.53702185,18.88,2947.781519,23.52718962
-20,600,3200,20.53,3194.590164,25.04847234,20.49,3199.035671,25.00863442,20.49,3198.402314,25.0143068
-20,600,3600,22.06,3431.217459,26.37510615,22.02,3437.202123,26.32523803,22.02,3436.4771,26.33127498
-20,600,4000,23.51,3655.328131,27.57793201,23.46,3661.291763,27.53141691,23.46,3660.476331,27.53777304
-20,600,4400,24.89,3868.499691,28.6779206,24.84,3875.981873,28.62301417,24.84,3875.075952,28.62965716
-20,600,4800,26.21,4072.301029,29.68885818,26.16,4081.286645,29.62654838,26.16,4080.291056,29.63344652
-20,600,5200,27.49,4269.82428,30.60989583,27.43,4278.769548,30.55107529,27.43,4277.68493,30.55820202
-20,700,400,4.53,826.2872085,5.831307372,4.53,827.0233696,5.811302162,4.53,826.9795971,5.812490875
-20,700,500,5.4,984.6547371,6.921105163,5.4,985.6990375,6.896594548,5.4,985.6369295,6.898051121
-20,700,600,6.22,1133.826752,7.886959517,6.21,1133.386961,7.896149974,6.21,1133.30496,7.897864195
-20,700,800,7.72,1406.470627,9.631203788,7.71,1406.770874,9.625948165,7.71,1406.644936,9.628152409
-20,700,1000,9.07,1651.60055,11.19378496,9.06,1652.6951,11.17696996,9.06,1652.521959,11.17962876
-20,700,1200,10.32,1878.367404,12.57258276,10.31,1880.302741,12.54581956,10.31,1880.07959,12.54890345
-20,700,1400,11.49,2090.445957,13.81075656,11.47,2091.438947,13.7981774,11.47,2091.164125,13.80165802
-20,700,1600,12.59,2289.685264,14.94531085,12.57,2291.58044,14.92305686,12.57,2291.251977,14.92691204
-20,700,2000,14.61,2655.196025,16.98852354,14.59,2658.934312,16.94979149,14.59,2658.496141,16.95432774
-20,700,2400,16.47,2991.348291,18.74055285,16.44,2995.176014,18.70479447,16.44,2994.625097,18.70993768
-20,700,2800,18.18,3300.075451,20.31345391,18.15,3305.816058,20.26433485,18.15,3305.151178,20.27001876
-20,700,3200,19.79,3590.480183,21.70888443,19.75,3596.345359,21.66243786,19.75,3595.565885,21.66860568
-20,700,3600,21.31,3864.430268,22.97112376,21.26,3870.425872,22.92682522,21.27,3871.341628,22.92006563
-20,700,4000,22.75,4123.780906,24.12705982,22.7,4131.708051,24.07207003,22.7,4130.69871,24.07906567
-20,700,4400,24.12,4370.375402,25.1935331,24.07,4380.214648,25.1291102,24.07,4379.091216,25.13645864
-20,700,4800,25.44,4607.831872,26.17018372,25.38,4617.775244,26.10847907,25.38,4616.538908,26.11614434
-20,700,5200,26.71,4836.180445,27.07610866,26.64,4846.214146,27.01688544,26.64,4844.865915,27.02483665
-20,800,400,4.17,869.2105458,4.711305704,4.16,867.9375075,4.743212128,4.16,867.8894897,4.744417117
-20,800,500,5,1041.849707,5.637078704,4.99,1040.929242,5.656838585,4.99,1040.860333,5.658319005
-20,800,600,5.78,1203.979235,6.489254509,5.78,1205.529557,6.459832421,5.78,1205.43732,6.461581194
-20,800,800,7.22,1503.018926,8.024680412,7.22,1505.425749,7.986673977,7.22,1505.282485,7.988933626
-20,800,1000,8.54,1776.827853,9.370840635,8.53,1778.0988,9.353333231,8.53,1777.899705,9.356074518
-20,800,1200,9.76,2029.635118,10.59324697,9.75,2031.912709,10.56510275,9.75,2031.653698,10.56830099
-20,800,1400,10.9,2265.6456,11.71297281,10.89,2268.975991,11.67535054,10.89,2268.654262,11.67898151
-20,800,1600,11.98,2489.042692,12.73361579,11.96,2491.391319,12.70904077,11.96,2491.00499,12.7130809
-20,800,2000,13.97,2900.206399,14.59038293,13.95,2904.812956,14.54789671,13.95,2904.292113,14.55269586
-20,800,2400,15.8,3277.798965,16.21153816,15.77,3282.669482,16.17099658,15.77,3282.010151,16.17648018
-20,800,2800,17.5,3628.155873,17.65887456,17.46,3633.33687,17.61933668,17.46,3632.536535,17.62543967
-20,800,3200,19.09,3955.510575,18.97278829,19.05,3963.088865,18.91917468,19.05,3962.145585,18.92584128
-20,800,3600,20.59,4264.06313,20.17323752,20.55,4274.040264,20.10724601,20.55,4272.953778,20.11442358
-20,800,4000,22.02,4557.983087,21.26957797,21.97,4568.297766,21.20537898,21.97,4567.068951,21.21301857
-20,800,4400,23.39,4839.371265,22.27739391,23.33,4850.025357,22.21468451,23.33,4848.654331,22.22274582
-20,800,4800,24.7,5108.277043,23.21792656,24.63,5119.247069,23.15659417,24.63,5117.735449,23.16503719
-20,800,5200,25.96,5366.782893,24.0957359,25.88,5378.04829,24.03569618,25.89,5378.457732,24.03351648
-20,900,400,3.85,902.7199212,3.898386851,3.85,903.6152365,3.877356954,3.85,903.5619805,3.878606898
-20,900,500,4.64,1087.528753,4.690983214,4.64,1088.826538,4.665058932,4.64,1088.749318,4.666600037
-20,900,600,5.39,1262.848221,5.413163034,5.38,1262.252952,5.423635659,5.38,1262.149325,5.425459584
-20,900,800,6.78,1587.438287,6.74612113,6.77,1587.850713,6.740139949,6.77,1587.687223,6.742510655
-20,900,1000,8.05,1883.632528,7.963345833,8.04,1885.157225,7.944150106,8.04,1884.927568,7.947039903
-20,900,1200,9.24,2160.851144,9.04502228,9.23,2163.580653,9.014333517,9.23,2163.279244,9.017719444
-20,900,1400,10.36,2421.489061,10.0346395,10.34,2423.155434,10.01756328,10.34,2422.778869,10.02142061
-20,900,1600,11.41,2665.605218,10.97382104,11.39,2668.585347,10.94557882,11.39,2668.130559,10.94988578
-20,900,2000,13.37,3120.705542,12.65502704,13.34,3124.101711,12.62672238,13.34,3123.484023,12.63186713
-20,900,2400,15.17,3538.023672,14.15080311,15.14,3544.267207,14.10388718,15.14,3543.479761,14.10979805
-20,900,2800,16.85,3927.00904,15.48928091,16.81,3933.840272,15.44222185,16.81,3932.879991,15.44883049
-20,900,3200,18.42,4290.119999,16.71925305,18.38,4299.882674,16.65685717,18.38,4298.747364,16.66410387
-20,900,3600,19.91,4634.386571,17.84012639,19.86,4644.778452,17.77797081,19.86,4643.468102,17.78579866
-20,900,4000,21.33,4962.195359,18.87210765,21.27,4973.223526,18.80997426,21.27,4971.737962,18.81833427
-20,900,4400,22.68,5273.623149,19.83962728,22.62,5287.575904,19.7651743,22.62,5285.915506,19.77402214
-20,900,4800,23.98,5573.317487,20.73655964,23.91,5587.866165,20.66271406,23.91,5586.033218,20.67200548
-20,900,5200,25.23,5861.327651,21.57850909,25.15,5876.440829,21.50527366,25.16,5876.752331,21.50376641
-20,1000,400,3.57,929.9392147,3.27426339,3.57,930.9316002,3.252089674,3.57,930.8725594,3.253407757
-20,1000,500,4.32,1124.822316,3.965847941,4.32,1126.271551,3.938477162,4.32,1126.1853,3.94010449
-20,1000,600,5.04,1311.755021,4.579474132,5.03,1311.119745,4.589974396,5.03,1311.003086,4.591903528
-20,1000,800,6.38,1659.259473,5.740705469,6.37,1659.794935,5.733474016,6.37,1659.608706,5.735988619
-20,1000,1000,7.61,1977.791092,6.821825886,7.6,1979.62976,6.80039321,7.6,1979.36597,6.803466167
-20,1000,1200,8.76,2275.228237,7.808043611,8.75,2278.478004,7.774312395,8.75,2278.130124,7.777919637
-20,1000,1400,9.85,2556.818482,8.703151058,9.83,2558.977931,8.682779257,9.83,2558.54121,8.686897063
-20,1000,1600,10.88,2822.625058,9.54665566,10.86,2826.352498,9.514228719,10.86,2825.82234,9.518836882
-20,1000,2000,12.8,3317.403974,11.08497886,12.77,3321.821715,11.05127435,12.78,3323.686384,11.03706787
-20,1000,2400,14.58,3775.324948,12.4444006,14.54,3780.594491,12.40822952,14.54,3779.665861,12.41459859
-20,1000,2800,16.23,4199.190731,13.69516356,16.19,4207.959579,13.64001779,16.19,4206.822044,13.64716256
-20,1000,3200,17.79,4599.426245,14.82783963,17.74,4609.177256,14.77097457,17.74,4607.828296,14.77883163
-20,1000,3600,19.26,4976.169036,15.88378606,19.2,4986.902306,15.82517969,19.21,4987.920344,15.81962955
-20,1000,4000,20.67,5337.18019,16.85007002,20.6,5348.931388,16.78961473,20.6,5347.15824,16.79872596
-20,1000,4400,22.01,5680.002411,17.7630662,21.93,5692.72899,17.70100207,21.94,5693.318819,17.69812984
-20,1000,4800,23.3,6009.796492,18.61421969,23.22,6026.059597,18.53873843,23.22,6023.864635,18.54891126
-20,1000,5200,24.54,6326.624546,19.41758136,24.45,6343.80779,19.34136926,24.46,6343.974742,19.34063
-20,1100,400,3.33,954.0094383,2.747478885,3.32,952.2424625,2.785380669,3.32,952.1775194,2.786775982
-20,1100,500,4.04,1156.875336,3.373937268,4.04,1158.486234,3.344916938,4.04,1158.390337,3.346642627
-20,1100,600,4.73,1353.847426,3.902030471,4.72,1353.186413,3.912397198,4.72,1353.055881,3.914445349
-20,1100,800,6.01,1718.786255,4.959374989,6,1719.45804,4.950810567,6,1719.248281,4.953484138
-20,1100,1000,7.2,2057.541075,5.920541158,7.19,2059.720077,5.896705992,7.19,2059.420568,5.89997977
-20,1100,1200,8.32,2375.919641,6.796861104,8.31,2379.746568,6.75977104,8.31,2379.34879,6.763621824
-20,1100,1400,9.38,2676.852397,7.60967132,9.36,2679.58409,7.585678788,9.36,2679.082471,7.590081642
-20,1100,1600,10.39,2963.24786,8.366743165,10.36,2964.979256,8.352753818,10.37,2967.218606,8.334679062
-20,1100,2000,12.27,3495.495613,9.776676123,12.24,3501.104192,9.737096621,12.24,3500.26222,9.743032282
-20,1100,2400,14.02,3989.998243,11.02707791,13.98,3996.846585,10.98369574,13.98,3995.762231,10.99055751
-20,1100,2800,15.65,4449.846454,12.17954736,15.6,4458.035637,12.13208021,15.6,4456.703164,12.13979514
-20,1100,3200,17.18,4880.887506,13.24958891,17.13,4893.30268,13.18288219,17.13,4891.717446,13.19138645
-20,1100,3600,18.64,5291.700623,14.22786927,18.58,5305.565947,14.15817524,18.58,5303.726244,14.16740815
-20,1100,4000,20.03,5682.410988,15.14273185,19.96,5697.727514,15.07017051,19.96,5695.633549,15.08007516
-20,1100,4400,21.36,6055.923811,16.00070472,21.28,6072.679476,15.92545624,21.28,6070.332273,15.93598096
-20,1100,4800,22.64,6415.141767,16.8049291,22.55,6433.315914,16.72720873,22.56,6433.541736,16.72624479
-20,1100,5200,23.87,6760.184634,17.56783577,23.77,6779.693382,17.48807404,23.78,6779.671505,17.48816333
-20,1200,400,3.11,971.8139742,2.372134692,3.11,973.0181547,2.347172711,3.11,972.9464822,2.348656961
-20,1200,500,3.79,1183.689967,2.899580286,3.79,1185.471611,2.868707194,3.79,1185.365519,2.870543401
-20,1200,600,4.44,1386.018334,3.40753104,4.44,1388.454615,3.37086833,4.44,1388.309476,3.373049432
-20,1200,800,5.68,1771.463469,4.304125871,5.67,1772.303719,4.293935773,5.67,1772.068515,4.296787387
-20,1200,1000,6.83,2128.320871,5.166670848,6.82,2130.888647,5.140091442,6.82,2130.550513,5.143588505
-20,1200,1200,7.92,2466.029692,5.948117086,7.9,2467.391385,5.935674914,7.9,2466.940614,5.939792508
-20,1200,1400,8.95,2784.69129,6.690904943,8.93,2788.090403,6.6628653,8.93,2787.518174,6.667581851
-20,1200,1600,9.93,3087.484594,7.394148732,9.9,3089.916004,7.375727738,9.91,3092.324531,7.35750264
-20,1200,2000,11.77,3654.989101,8.687357628,11.74,3661.952444,8.641457839,11.74,3660.98333,8.647837824
-20,1200,2400,13.49,4184.3577,9.837061843,13.44,4189.923502,9.804203009,13.45,4191.768903,9.793322814
-20,1200,2800,15.09,4675.910937,10.91375669,15.04,4686.393468,10.8572352,15.04,4684.847011,10.86556193
-20,1200,3200,16.61,5142.146404,11.89434394,16.55,5154.576288,11.83232358,16.55,5152.730308,11.84152066
-20,1200,3600,18.05,5583.257525,12.81331071,17.98,5597.675938,12.74604561,17.98,5595.528565,12.75604805
-20,1200,4000,19.42,6002.502578,13.67904093,19.34,6018.891063,13.60698881,19.35,6019.527382,13.60419672
-20,1200,4400,20.74,6406.139312,14.48288105,20.65,6424.479758,14.40647743,20.66,6424.815825,14.40508019
-20,1200,4800,22.01,6794.306336,15.24020765,21.91,6814.507636,15.16008414,21.92,6814.549798,15.15991725
-20,1200,5200,23.23,7167.126043,15.96219486,23.12,7189.032563,15.87911962,23.13,7188.791003,15.88003387
-30,400,400,5.01,481.537948,9.715456802,5.01,481.8219053,9.698855874,5.01,481.8050275,9.69984227
-30,400,500,5.93,569.8380907,11.26508111,5.93,570.2392125,11.24509431,5.93,570.2153674,11.24628201
-30,400,600,6.79,652.3422362,12.60668874,6.79,652.8721076,12.58351056,6.79,652.8406045,12.58488803
-30,400,800,8.34,800.9493561,14.96602385,8.34,801.7587908,14.93708713,8.34,801.7106545,14.93880715
-30,400,1000,9.74,935.0715849,16.92175268,9.73,935.2269752,16.91700305,9.73,935.1607862,16.91902608
-30,400,1200,11.02,1057.611246,18.60889539,11.02,1059.05058,18.57023961,11.02,1058.964946,18.57253817
-30,400,1400,12.22,1172.416727,20.05582917,12.2,1172.28038,20.05910919,12.21,1173.133682,20.03858688
-30,400,1600,13.33,1278.548784,21.37189349,13.32,1279.72121,21.34627972,13.32,1279.59458,21.3490453
-30,400,2000,15.39,1475.354625,23.58464576,15.38,1477.258041,23.54934904,15.38,1477.087922,23.5525024
-30,400,2400,17.27,1654.790329,25.4138933,17.25,1656.492315,25.38636291,17.25,1656.27748,25.38983695
-30,400,2800,19.01,1820.723686,26.96572338,18.98,1822.240746,26.94391091,18.98,1821.980325,26.94765451
-30,400,3200,20.63,1975.097786,28.3163661,20.6,1977.393091,28.28661566,20.6,1977.086406,28.29058965
-30,400,3600,22.16,2120.794748,29.49725068,22.13,2123.876342,29.46085506,22.13,2123.522871,29.4650284
-30,400,4000,23.61,2258.787499,30.54671858,23.57,2261.702749,30.51506691,23.58,2262.257475,30.50904633
-30,400,4400,24.99,2390.044645,31.48954615,24.95,2393.748557,31.45231657,24.95,2393.30162,31.45680753
-30,400,4800,26.32,2516.47581,32.33351466,26.27,2520.021242,32.30032842,26.27,2519.527431,32.30494942
-30,400,5200,27.59,2637.149053,33.10842638,27.54,2641.481908,33.07046475,27.54,2640.941221,33.0752005
-30,500,400,4.41,529.7902046,7.053382843,4.41,530.1262348,7.03591399,4.41,530.1062608,7.036951963
-30,500,500,5.27,632.9499359,8.307038384,5.27,633.431667,8.285837075,5.27,633.4030278,8.28709695
-30,500,600,6.08,730.0645413,9.414909475,6.07,729.507237,9.436373715,6.07,729.4691111,9.437842826
-30,500,800,7.55,906.19195,11.43855287,7.55,907.1894135,11.40728228,7.55,907.1300882,11.40914105
-30,500,1000,8.9,1067.807295,13.1218365,8.89,1067.999387,13.1166945,8.89,1067.916791,13.11890535
-30,500,1200,10.14,1216.141912,14.61722046,10.13,1216.754292,14.60279999,10.13,1216.646728,14.60533241
-30,500,1400,11.29,1353.616115,15.96503994,11.28,1354.666694,15.94282646,11.28,1354.533083,15.94565062
-30,500,1600,12.38,1483.834763,17.15725968,12.37,1485.343304,17.12823098,12.37,1485.182457,17.13132485
-30,500,2000,14.4,1724.951546,19.22302618,14.38,1726.217045,19.20224331,14.38,1725.999751,19.20581094
-30,500,2400,16.24,1944.361682,20.98731406,16.22,1946.610357,20.95491828,16.22,1946.3346,20.9588894
-30,500,2800,17.95,2148.086248,22.5055298,17.93,2151.342422,22.46360935,17.93,2151.006697,22.46792934
-30,500,3200,19.55,2338.552088,23.84075769,19.52,2341.634202,23.80480111,19.52,2341.238147,23.80941973
-30,500,3600,21.06,2518.173264,25.02749681,21.03,2522.286107,24.98356795,21.03,2521.828682,24.98845133
-30,500,4000,22.5,2689.3514,26.08556598,22.46,2693.312624,26.04650755,22.46,2692.793698,26.05162222
